Year,Month,DESTINATION,COUNTRYNAME,HS CODE,SHORT_DESC,QUANTITY,UNIT,FOB_VALUE
2022,12,MU,MAURITIUS,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",10.5,kg,110977.92
2022,12,MW,MALAWI,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",3000.0,kg,305948.5
2022,12,RW,RWANDA,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",7364000.0,,76671703.64999998
2022,12,RW,RWANDA,48115990,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in head",113190.0,,55587805.13999999
2022,12,RW,RWANDA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",58172.53,,12790418.0
2022,12,RW,RWANDA,48193000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Sacks and",40.0,,30775.0
2022,12,RW,RWANDA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",30956.0,,7141027.5
2022,12,SS,SOUTH SUDAN,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",10618750.0,kg,144886294.39
2022,12,SS,SOUTH SUDAN,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",850.0,kg,40658.1
2022,12,SS,SOUTH SUDAN,48193000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Sacks and",10.0,kg,14000.0
2022,12,TZ,TANZANIA,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",2882000.0,,31257399.9
2022,12,TZ,TANZANIA,25232900,"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers. -- Other",1200000.0,kg,11541704.1
2022,12,TZ,TANZANIA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",21455.0,,4698452.4
2022,12,TZ,TANZANIA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",15916.130000000001,,8465767.65
2022,12,TZ,TANZANIA,72131000,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel. - Containing indentations,ribs,grooves or other deformations produced during the rolling process",2262000.0,,208548867.00239998
2022,12,TZ,TANZANIA,72172000,Wire of iron or non-alloy steel. - Plated or coated with zinc,37980.0,,4894379.1
2022,12,UG,UGANDA,48191000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Cartons, b",14852.0,,6248775.24
2022,12,UG,UGANDA,48194000,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like. - Other sack",36850.0,,9207450.0
2022,12,UG,UGANDA,72131000,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel. - Containing indentations,ribs,grooves or other deformations produced during the rolling process",7644.0,,686354.76
2022,12,UG,UGANDA,72166100,"Angles, shapes and sections of iron or non-alloy steel. -- Obtained from flat-rolled products",25160.0,,6292120.5
